,Song Artist,Song Title,Part,Chords,Lyrics,Genre
22,Billie Eilish & Khalid,LOVELY,verse 2,C Em Bm C Em Bm,Walkin out of time Lookin for a better place (lookin for a better place) Somethings on my mind Always in my headspace ,country
23,Billie Eilish & Khalid,LOVELY,pre-chorus,C Em Bm C Em Bm C Em Bm C Em Bm,But I know some day Ill make it out of here Even if it takes all night or a hundred years Need a place to hide but I cant find one near Wanna feel alive outside I can fight my fear ,country
24,Billie Eilish & Khalid,LOVELY,chorus,C Em Bm C Em Bm,Isnt it lovely all alone Heart made of glass my mind of stone Tear me to pieces skin and bone Hello welcome home ,country
25,Billie Eilish & Khalid,LOVELY,outro,C Em Bm C Em Bm C Em Bm C Em Bm C,Woah-oah yeah-yeah ah Yeahhhhhhh Oh-oh-oh-oh-ohhh-ohhh Woah woah   Hello welcome ho-o-o-o-ome,country
26,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,verse 1,Am F C G Am F C G,That Arizona sky burning in your eyes You look at me and babe I wanna catch on fire Its buried in my soul like California gold You found the light in me that I couldnt find  ,country
27,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,chorus 1,F C Am G F G Am F G C F G C,So when Im all choked up and I cant find the words Every time we say goodbye baby it hurts When the sun goes down - And the band wont play Ill always remember us this way  ,country
28,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,verse 2,Am F C G Am F C G,Lovers in the night poets trying to write We dont know how to rhyme but damn we try But all I really know youre where I wanna go The part of me thats you will never die  ,country
29,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,chorus 2,F C Am G F G Am F G C F G Bb Bb,So when Im all choked up and I cant find the words Every time we say goodbye baby it hurts When the sun goes down - And the band wont play Ill always remember us this way - Oh yeah  ,country
30,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,bridge,F C C Bb F G,,country
31,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,chorus,F C Am G F G Am F G C F G Am,So when Im all choked up and I cant find the words Every time we say goodbye baby it hurts When the sun goes down and the band wont play Ill always remember us this way – Wo-o-yeah  ,country
32,Misc Soundtrack,A STAR IS BORN - ALWAYS REMEMBER US THIS WAY,outro,F G Am F G C F G F Bb F C,When you look at me and the whole world fades Ill always remember us this way,country
33,4 Non Blondes,WHATS UP,lead,,,country
34,4 Non Blondes,WHATS UP,intro,G Am C G x2,,country
35,4 Non Blondes,WHATS UP,verse 1,G Am C G G Am C G,Twenty-five years and my life is still Trying to get up that great big hill Of hope for a destination I realized quickly when I knew I should That the world was made of this brotherhood Of man for whatever that means ,country
36,4 Non Blondes,WHATS UP,pre-chorus,G Am C G G Am C G,"And so I cry sometimes when Im lying in bed Just to get it all out whats in my head and I - I am feeling a little peculiar And so I wake in the morning and I step outside and I take a deep breath and I get real high and I scream at the top of my lungs ""Whats going on?"" ",country
37,4 Non Blondes,WHATS UP,chorus,G Am C G G Am C G,"And I said ""Heyeyeyeyey Heyeyey"" I said ""Hey whats going on?"" And I said ""Heyeyeyeyey Heyeyey"" I said ""Hey whats going on?"" ",country
38,4 Non Blondes,WHATS UP,interlude,G Am C G G Am C G,Ooh Ooh Ooh Ooh Ooh Ooh ,country
39,4 Non Blondes,WHATS UP,verse,G Am C G G Am C G,And I try oh my God do I try I try all the time in this institution And I pray oh my god do I pray I pray every single day For a revolution ,country
40,4 Non Blondes,WHATS UP,pre-chorus,G Am C G G Am C G,"And so I cry sometimes when Im lying in bed Just to get it all out whats in my head and I - I am feeling a little peculiar And so I wake in the morning and I step outside and I take a deep breath and I get real high and I scream at the top of my lungs ""Whats going on?"" ",country
41,4 Non Blondes,WHATS UP,chorus,G Am C G G Am C G,"And I said ""Heyeyeyeyey Heyeyey"" I said ""Hey whats going on?"" And I said ""Heyeyeyeyey Heyeyey"" I said ""Hey whats going on?"" ",country
42,4 Non Blondes,WHATS UP,chorus,G Am C G G Am C G,"And I said ""Heyeyeyeyey Heyeyey"" I said ""Hey whats going on?"" And I said ""Heyeyeyeyey HeyeYEYEYE"" I said ""Hey whats going on?"" ",country
43,4 Non Blondes,WHATS UP,interlude,G Am C G,Ooh Ooh Ooh ,country
44,4 Non Blondes,WHATS UP,outro,G Am C G,Twenty-five years and my life is still Trying to get up that great big hill of hope For a destination,country
45,Adele,WHEN WE WERE YOUNG,intro,Am Em F C Dm C,,country
46,Adele,WHEN WE WERE YOUNG,verse 1,Am Em F C Dm C Am Em F C Dm C C C Am Em F C Dm C C C Am Em F C Dm Gsus4 G,Everybody loves the things you do From the way you talk to the way you move Everybody here is watching you Cause you feel like home youre like a dream come true  But if by chance youre here alone Can I have a moment before I go Cause Ive been by myself all night long Hoping youre someone I used to know ,country
47,Adele,WHEN WE WERE YOUNG,pre-chorus,F G Em F F G Em G,You look like a movie You sound like a song My God this reminds me Of when we were young ,country
48,Adele,WHEN WE WERE YOUNG,chorus,C Em F G C Em F G Am C F Fm Dm F Gsus4 G,Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realized We were sad of getting old it made us restless It was just like a movie it was just like a song ,country
49,Adele,WHEN WE WERE YOUNG,verse 2,Am Em F C Dm C C C Am Em F C Dm Gsus4 G,I was so scared to face my fears Cause nobody told me that youd be here And I swear you moved overseas Thats what you said when you left me ,country
50,Adele,WHEN WE WERE YOUNG,pre-chorus,F G Em F F G Em G,You still look like a movie You still sound like a song My God this reminds me Of when we were young ,country
51,Adele,WHEN WE WERE YOUNG,chorus,C Em F G C Em F G Am C F Fm Dm F G G,Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realized We were sad of getting old it made us restless It was just like a movie it was just like a song ,country
52,Adele,WHEN WE WERE YOUNG,bridge,Am C F C Am C F G Am C F C Dm G G Am C F C Dm G,When we were young When we were young When we were young When we were young  Its hard to admit that everything just takes me back To when you were there To when you were there And a part of me keeps holding on just in case it hasnt gone I guess I still care Do you still care? ,country
53,Adele,WHEN WE WERE YOUNG,pre-chorus,F G Em F F G Em G,It was just like a movie It was just like a song My God this reminds me Of when we were young ,country
54,Adele,WHEN WE WERE YOUNG,bridge,C Em F G C Em F G,When we were young When we were young When we were young When we were young ,country
55,Adele,WHEN WE WERE YOUNG,chorus,C Em F G C Em F G Am C F G Am C F Fm Dm F Gsus4 G C,Let me photograph you in this light in case it is the last time That we might be exactly like we were before we realized We were sad of getting old it made us restless Oh Im so mad Im getting old it makes me reckless It was just like a movie it was just like a song When we were young,country
56,John Legend,ALL OF ME,verse,Em C G D Em C G D Em C G D Em C G D Am,What would I do without your smart mouth Drawing me in and you kicking me out Got my head spinning no kidding I cant pin you down Whats going on in that beautiful mind Im on your magical mystery ride And Im so dizzy dont know what hit me but Ill be alright ,country
57,John Legend,ALL OF ME,bridge,Am G D Am G D,My heads under water But Im breathing fine Youre crazy and Im out of my mind ,country
58,John Legend,ALL OF ME,chorus,G Em Am C D G Em Am C D Em C G D Em C G D,Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me Ill give my all to you Youre my end and my beginning Even when I lose Im winning Cause I give you all all of me And you give me all all of you oh ,country
59,John Legend,ALL OF ME,verse,Em C G D Em C G D Em C G D Em C G D Am,How many times do I have to tell you Even when youre crying youre beautiful too The world is beating you down Im around through every mood Youre my downfall youre my muse My worst distraction my rhythm and blues I cant stop singing its ringing in my head for you ,country
60,John Legend,ALL OF ME,bridge,Am G D Am G D,My heads under water But Im breathing fine Youre crazy and Im out of my mind ,country
61,John Legend,ALL OF ME,chorus,G Em Am C D G Em Am C D Em C G D Em C G D,Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me Ill give my all to you Youre my end and my beginning Even when I lose Im winning Cause I give you all all of me And you give me all all of you oh ,country
62,John Legend,ALL OF ME,bridge,Am G D Am Am G D,Give me all of you oh Cards on the table Were both showing hearts Risking it all though its hard ,country
63,John Legend,ALL OF ME,chorus,G Em Am C D G Em Am C D Em C G D Em C G D Em C G D Em C G D,Cause all of me Loves all of you Love your curves and all your edges All your perfect imperfections Give your all to me Ill give my all to you Youre my end and my beginning Even when I lose Im winning Cause I give you all all of me And you give me all all of you Cause I give you all all of me And you give me all all of you oh,country
64,Billie Eilish,OCEAN EYES,intro,C Dsus2 Em (x3) G G C,,country
65,Billie Eilish,OCEAN EYES,verse 1,C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C G G C,Ive been watching you for some time Cant stop staring at those ocean eyes Burning cities and napalm skies Fifteen flares inside those ocean eyes Your ocean eyes  ,country
66,Billie Eilish,OCEAN EYES,chorus,C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C G G C,No fair You really know how to make me cry When you gimme those ocean eyes Im scared Ive never fallen from quite this high Falling into your ocean eyes Those ocean eyes  ,country
67,Billie Eilish,OCEAN EYES,verse 2,C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C G G C,Ive been walking through a world gone blind Cant stop thinking of your diamond mind Careful creature made friends with time He left her lonely with a diamond mind And those ocean eyes  ,country
68,Billie Eilish,OCEAN EYES,chorus,C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C G G C,No fair You really know how to make me cry When you gimme those ocean eyes Im scared Ive never fallen from quite this high Falling into your ocean eyes Those ocean eyes  ,country
69,Billie Eilish,OCEAN EYES,instrumental,C Dsus2 Em (x3) G G C C Dsus2 Em (x3) G G C G G C,,country
70,Billie Eilish,OCEAN EYES,chorus,C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C C Dsus2 Em C Dsus2 Em C Dsus2 Em G G C G G C,No fair You really know how to make me cry When you gimme those ocean eyes Im scared Ive never fallen from quite this high Falling into your ocean eyes Those ocean eyes,country
71,Bob Dylan,KNOCKIN ON HEAVENS DOOR,intro,G D Am G D C,,country
72,Bob Dylan,KNOCKIN ON HEAVENS DOOR,verse,G D Am G D C G D Am G D C,Mama take this badge off of me I cant use it anymore Its getting dark too dark to see I feel Im knockin on heavens door ,country
73,Bob Dylan,KNOCKIN ON HEAVENS DOOR,chorus,G D Am G D C G D Am G D C,Knock knock knockin on heavens door Knock knock knockin on heavens door Knock knock knockin on heavens door Knock knock knockin on heavens door ,country
74,Bob Dylan,KNOCKIN ON HEAVENS DOOR,verse,G D Am G D C G D Am G D C,Mama put my guns in the ground I cant shoot them anymore That long black cloud is comin down I feel Im knockin on heavens door ,country
75,Bob Dylan,KNOCKIN ON HEAVENS DOOR,chorus,G D Am G D C G D Am G D C,Knock knock knockin on heavens door Knock knock knockin on heavens door Knock knock knockin on heavens door Knock knock knockin on heavens door ,country
76,Bob Dylan,KNOCKIN ON HEAVENS DOOR,outro,G D Am G,Oo - oo - oo - oo ,country
77,Bill Withers,AINT NO SUNSHINE,verse 1,Am Am Em Em Am Am Am Em Em Am Em Dm Am Em Em Am Am Am Em Em Am Am Am Em Em Am Em Dm Am Em Em Am,Aint no sunshine when shes gone. Its not warm when shes away. Aint no sunshine when shes gone and shes always gone too long Anytime she goes away.  Wonder this time where shes gone Wonder if shes gone to stay Aint no sunshine when shes gone and this house just aint no home Anytime she goes away. ,country
78,Bill Withers,AINT NO SUNSHINE,interlude,N.C. N.C. N.C. N.C. N.C.,And I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know I know Hey I ought to leave the young thing alone ,country
79,Bill Withers,AINT NO SUNSHINE,verse 2,Am Em Em Am Am Em Em Am Am Am Em Am Em Dm Am Em Em Am Am Em Em Am Am Em Em Am Am Em Em Am,But aint no sunshine when shes gone But aint no sunshine when shes gone only darkness everyday. Aint no sunshine when shes gone and this house just aint no home Anytime she goes away. Anytime she goes away. Anytime she goes away. Anytime she goes away.,country
80,Israel Kamakawiwo'ole,OVER THE RAINBOW,intro 1,G D Em C G D Em C C C,,country
81,Israel Kamakawiwo'ole,OVER THE RAINBOW,intro 2,G Bm C G C B7 Em C,Oooo oooo oooo oooo... Oooo oooo oooo oooo... ,country
82,Israel Kamakawiwo'ole,OVER THE RAINBOW,verse 1,G Bm C G C G D Em C,Somewhere over the rainbow way up high and the dreams that you dream of once in a lullaby. Ohhhh. ,country
83,Israel Kamakawiwo'ole,OVER THE RAINBOW,verse 2,G Bm C G C G D Em C,Somewhere over the rainbow bluebirds fly and the dreams that you dream of dreams really do come true. Ohhhh. ,country
84,Israel Kamakawiwo'ole,OVER THE RAINBOW,bridge,G Bm Em C G Bm Em C,Someday Ill wish upon a star wake up where the clouds are far behind me. Where troubles melts like lemon drops high above the chimney tops thats where youll find me oh ,country
85,Israel Kamakawiwo'ole,OVER THE RAINBOW,verse 3,G Bm C G C G D Em C,Somewhere over the rainbow bluebirds fly and the dreams that you dare to oh why oh why cant I? I-I-I oh ,country
86,Israel Kamakawiwo'ole,OVER THE RAINBOW,bridge,G Bm Em C G Bm Em C,Someday Ill wish upon a star wake up where the clouds are far behind me-e-e. Where troubles melts like lemon drops high above the chimney tops thats where youll find me oh ,country
87,Israel Kamakawiwo'ole,OVER THE RAINBOW,verse 3 (reprise),G Bm C G C G D Em C,Somewhere over the rainbow way up high and the dreams that you dare to why oh why cant I? I-I-I ,country
88,Israel Kamakawiwo'ole,OVER THE RAINBOW,outro (repeat and fade out),G Bm C G C B7 Em C,Oooo oooo oooo oooo... Oooo oooo oooo oooo...,country
89,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,intro, G  G  Cadd9  D   G  G  Cadd9  D ,,country
90,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,verse 1,G Cadd9 D G Cadd9 D Em D C G Em D C G,Another turning point a fork stuck in the road Time grabs you by the wrist directs you where to go So make the best of this test and dont ask why Its not a question but a lesson learned in time ,country
91,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,chorus,Em G Em G Em D G,Its something unpredictable but in the end its right I hope you had the time of your life. ,country
92,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,interlude, G  G  Cadd9  D   G  G  Cadd9  D ,,country
93,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,verse 2,G Cadd9 D G Cadd9 D Em D C G Em D C G,So take the photographs and still frames in your mind Hang it on a shelf in good health and good time Tattoos of memories and dead skin on trial For what its worth it was worth all the while ,country
94,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,chorus,Em G Em G Em D G,Its something unpredictable but in the end its right I hope you had the time of your life. ,country
95,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,instrumental, G  G  Cadd9  D   G  G  Cadd9  D   G  G  Cadd9  D   G  G  Cadd9  D   Em  D  C  G   Em  D  C  G ,,country
96,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,chorus,Em G Em G Em D G,Its something unpredictable but in the end its right I hope you had the time of your life. ,country
97,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,interlude, G  G  Cadd9  D   G  G  Cadd9  D ,,country
98,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,chorus,Em G Em G Em D G,Its something unpredictable but in the end its right I hope you had the time of your life. ,country
99,Green Day,GOOD RIDDANCE TIME OF YOUR LIFE,outro, G  G  Cadd9  D   G  G  Cadd9  D   G ,,country
100,Daniel Caesar feat. H.E.R.,BEST PART,intro,Dmaj7 Am7 Gmaj7 Bbmaj7,,country
101,Daniel Caesar feat. H.E.R.,BEST PART,verse 1,Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7,You dont know babe When you hold me And kiss me slowly Its the sweetest thing And it dont change If I had it my way You would know that you are ,country
102,Daniel Caesar feat. H.E.R.,BEST PART,pre-chorus,Dmaj7 Am7 Gmaj7 Bbmaj7,Youre the coffee that I need in the morning Youre my sunshine in the rain when its pouring Wont you give yourself to me Give it all oh ,country
103,Daniel Caesar feat. H.E.R.,BEST PART,chorus,Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7,I just wanna see I just wanna see how beautiful you are You know that I see it I know youre a star Where you go I follow  No matter how far If life is a movie Oh youre the best part oh Youre the best part oh Best part ,country
104,Daniel Caesar feat. H.E.R.,BEST PART,verse 2,Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7,Its the sunrise And those brown eyes Youre the one that I desire When we wake up And then we make love It makes me feel so nice ,country
105,Daniel Caesar feat. H.E.R.,BEST PART,pre-chorus 2,Dmaj7 Am7 Gmaj7 Bbmaj7,Youre my water when Im stuck in the desert Youre the Tylenol I take when my head hurts Youre the sunshine on my life ,country
106,Daniel Caesar feat. H.E.R.,BEST PART,chorus,Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7,I just wanna see how beautiful you are You know that I see it I know youre a star Where you go I follow  No matter how far If life is a movie Oh youre the best part oh Youre the best part oh Best part ,country
107,Daniel Caesar feat. H.E.R.,BEST PART,outro,Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7 Dmaj7 Am7 Gmaj7 Bbmaj7,If you love me wont you say something If you love me wont you Wont you If you love me wont you say something If you love me wont you Love me wont you If you love me wont you say something If you love me wont you If you love me wont you say something If you love me wont you Love me wont you If you love me wont you say something If you love me wont you If you love me wont you say something If you love me wont you Love me wont you,country
108,Noah Cyrus,JULY,intro, Am  C  F  F  x2,,country
109,Noah Cyrus,JULY,verse 1,Am C F Am C F,Ive been holdin my breath Ive been countin to ten over somethin you said. Ive been holdin back tears while youre throwing back beers. Im alone in bed. ,country
110,Noah Cyrus,JULY,pre-chorus,Am C F Am C F,You know I-I-I-I-I Im afraid of change Guess thats why-y-y-y-y we stay the same  ,country
111,Noah Cyrus,JULY,chorus,N.C. C Am F Am C F G Am Dm ,So tell me to leave Ill pack my bags get on the road Find someone that loves you better than I do darlin I know. Cause you remind me every day Im not enough but I still stay  ,country
112,Noah Cyrus,JULY,verse 2,Am C F Am C F,Feels like a lifetime just trying to get by while were dying inside. Ive done a lot of things wrong loving you being one but I cant move on ,country
113,Noah Cyrus,JULY,pre-chorus,Am C F Am C F,You know I-I-I-I-I Im afraid of change Guess thats why-y-y-y-y we stay the same  ,country
114,Noah Cyrus,JULY,chorus,C Am F Am C F G Am Dm ,So tell me to leave Ill pack my bags get on the road Find someone that loves you better than I do darlin I know. Cause you remind me every day Im not enough but I still stay  ,country
115,Noah Cyrus,JULY,bridge,C Am F,If you want me to leave then tell me to leave and baby Ill go  ,country
116,Noah Cyrus,JULY,interlude (whistle), Am  C  F  F  x2  Dm  Am  F  F  x2,,country
117,Noah Cyrus,JULY,outro,N.C.,You remind me every day  Im not enough but I still stay,country
118,a-ha,TAKE ON ME,intro,Bm E A D A Bm E D Esus2 E,,country
119,a-ha,TAKE ON ME,verse,Bm E A D A Bm E A D A Bm E F#m D,Talking away I dont know what Im to say Ill say it anywayTodays another day to find you Shyin away Ill be coming for your love OK? ,country
120,a-ha,TAKE ON ME,chorus,A E F#m D A E F#m D A E F#m D A E D E,Take on me (take on me) Take me on (take on me) Ill be gone in a day or two ,country
121,a-ha,TAKE ON ME,verse,Bm E A D A Bm E A D A Bm E F#m D,So needless to say Im odds and ends but Ill be stumbling awake slowly learning that life is OK Say after me its no better to be safe than sorry ,country
122,a-ha,TAKE ON ME,chorus,A E F#m D A E F#m D A E F#m D A E D E,Take on me (take on me) Take me on (take on me) Ill be gone in a day or two ,country
123,a-ha,TAKE ON ME,instrumental,C#m G C#m G Bm E,,country
124,a-ha,TAKE ON ME,verse,Bm E A D A Bm E A D A Bm E F#m D,Oh things that you say yeah is it life or just to play My worries away youre all the things Ive got to remember You are shying away Ill be coming for you anyway ,country
125,a-ha,TAKE ON ME,chorus,A E F#m D A E F#m D A E F#m D A E D E A E F#m D A E F#m D A E F#m D A E F#m D N.C. N.C.,Take on me (take on me) Take me on (take on me) Ill be gone in a day or two  Take on me (take on me) Take me on (take on me) Ill be gone in a day or two Take on me Take on me,country
126,Corinne Bailey Rae,PUT YOUR RECORDS ON,verse,G A7 C G G A7 C G Em7 B7 Em7 A9 Cmaj7 Cmmaj7,Three little birds sat on my window And they told me I dont need to worry Summer came like cinnamon  So sweet Little girls double-dutch on the concrete  Maybe sometimes weve got it wrong but its alright The more things seem to change the more they stay the same  Oh dont you hesitate ,country
127,Corinne Bailey Rae,PUT YOUR RECORDS ON,chorus,G A7 C G G A7 C G Cmaj7 Cmmaj7 G,Girl put your records on tell me your favourite song You go ahead let your hair down Sapphire and faded jeans I hope you get your dreams Just go ahead let your hair down Youre gonna find yourself somewhere somehow ,country
128,Corinne Bailey Rae,PUT YOUR RECORDS ON,verse 2,G A7 C G G A7 C G Em7 B7 Em7 A9 Cmaj7 Cmmaj7,Blue as the sky sunburnt and lonely Sipping tea in a bar by the roadside (just relax just relax) Dont you let those other boys fool you Got to love that afro hair do  Maybe sometimes we feel afraid but its alright The more you stay the same the more they seem to change  Dont you think its strange? ,country
129,Corinne Bailey Rae,PUT YOUR RECORDS ON,chorus,G A7 C G G A7 C G Cmaj7 Cmmaj7 G,Girl put your records on tell me your favourite song You go ahead let your hair down Sapphire and faded jeans I hope you get your dreams Just go ahead let your hair down Youre gonna find yourself somewhere somehow ,country
130,Corinne Bailey Rae,PUT YOUR RECORDS ON,bridge,Am7 Em N.C. Am7 G Cmaj7 Am7 Cmaj7,Twas more than I could take pity for pitys sake Some nights kept me awake I thought that I was stronger When you gonna realise that you dont even have to try any longer? Do what you want to ,country
131,Corinne Bailey Rae,PUT YOUR RECORDS ON,chorus,G A7 C G G A7 C G Cmaj7 Cmmaj7 G,Girl put your records on tell me your favourite song You go ahead let your hair down (gon let your hair down!) Sapphire and faded jeans I hope you get your dreams Just go ahead let your hair down Youre gonna find yourself somewhere somehow ,country
132,Corinne Bailey Rae,PUT YOUR RECORDS ON,chorus,G A7 C G G A7 C G Cmaj7 Cmmaj7 G,Girl put your records on tell me your favourite song You go ahead let your hair down Sapphire and faded jeans I hope you get your dreams Just go ahead let your hair down Youre gonna find yourself somewhere somehow,country
133,Fleetwood Mac,DREAMS,intro,F G F G,,country
134,Fleetwood Mac,DREAMS,verse,F G F G F G F G F G F G F G F G F G F G F G F G F, Now here you go again You say you want your freedom Well who am I to keep you down? Its only right that you should play the way you feel it But listen carefully to the sound Of your loneliness like a heartbeat drives you mad In the stillness of remembering what you had And what you lost And what you had And what you lost  ,country
135,Fleetwood Mac,DREAMS,chorus,Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 (now go back to alternating b the G & F chords like the 1st verse), Oh thunder only happens when its raining Players only love you when theyre playing Say women they will come and they will go When the rain washes you clean youll know Youll know   ,country
136,Fleetwood Mac,DREAMS,verse,F G F G F G F F G F G F G F G F G F G F G F G F G F, Now here I go again I see you crystal visions I keep my visions to myself Its only me who wants to wrap around you dreams and Have you any dreams youd like to sell Dreams of loneliness like a heartbeat drives you mad In the stillness of remembering what you had And what you lost And what you had Ooh and what you lost  ,country
137,Fleetwood Mac,DREAMS,chorus,G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G6 Fmaj7 G Fmaj7 G Fmaj7 G, Oh thunder only happens when its raining Players only love you when theyre playing Say women they will come and they will go When the rain washes you clean youll know Youll know  Oh thunder only happens when its raining Players only love you when theyre playing Say women they will come and they will go When the rain washes you clean youll know Youll know Youll know  You will know,country
138,Harry Styles,FALLING,intro,E C#m B E A,,country
139,Harry Styles,FALLING,verse 1,E C#m B A E C#m B A,Im in my bed And youre not here And theres no one to blame but the drink in my wandering hands Forget what I said Its not what I meant And I cant take it back I cant unpack the baggage you left  ,country
